INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_IN_OUT,PRECINCT,JURISDICTION_CODE,LOC_CLASS,LOCATION_DESC,MURDER_FLAG,PERP_AGE,PERP_SEX,PERP_RACE,VIC_AGE,VIC_SEX,VIC_RACE,X_COORD,Y_COORD,LAT,LONG
282682441,2/23/24,4:40:00,BRONX,INSIDE,46,1,TRANSIT,(null),Y,18-24,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011698,251174,40.85604676326622,-73.90077784
284257899,3/22/24,14:40:00,QUEENS,INSIDE,103,0,DWELLING,PVT HOUSE,Y,25-44,M,BLACK,25-44,F,BLACK,1039200,189532,40.686728,-73.801863
284274405,3/24/24,19:20:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),Y,(null),(null),(null),18-24,F,BLACK,1001963,233039,40.806296307097966,-73.93601689
281134487,1/25/24,20:13:00,QUEENS,OUTSIDE,103,0,STREET,GROCERY/BODEGA,N,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,1040292,191255,40.691451,-73.797913
280179980,1/8/24,21:43:00,BRONX,OUTSIDE,47,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1026948,263437,40.889646,-73.845569
284961340,3/17/24,18:40:00,BROOKLYN,INSIDE,62,0,DWELLING,MULTI DWELL - APT BUILD,Y,25-44,M,WHITE,45-64,M,BLACK,985022,157827,40.599876,-73.997218
280872175,1/20/24,20:30:00,BROOKLYN,INSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1017036,183890,,
282363027,2/16/24,22:30:00,BRONX,INSIDE,40,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,BLACK,1010360,235031,40.811744,-73.905674
281593157,2/2/24,23:08:00,BROOKLYN,INSIDE,69,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1008632,171086,40.636236,-73.91215
280370387,1/11/24,21:34:00,BRONX,OUTSIDE,43,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1021739,244529,40.837771289628165,-73.86451768
280879491,1/21/24,6:08:00,BRONX,INSIDE,47,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1023421,264176,40.891691,-73.858323
282942198,2/28/24,13:15:00,MANHATTAN,OUTSIDE,19,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,WHITE HISPANIC,999232,224050,40.781632,-73.9459
282064253,2/11/24,21:50:00,MANHATTAN,OUTSIDE,13,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,987366,208421,40.738744,-73.988753
282682441,2/23/24,4:40:00,BRONX,INSIDE,46,1,TRANSIT,(null),Y,25-44,F,BLACK HISPANIC,45-64,M,WHITE HISPANIC,1011698,251174,40.85604676326622,-73.90077784
279799858,1/1/24,14:57:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1014086,254305,40.86463266264929,-73.89213149
279784405,1/1/24,6:33:00,MANHATTAN,OUTSIDE,34,0,COMMERCIAL,(null),N,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1007382,255503,40.867942,-73.916363
283641593,3/12/24,20:35:00,BROOKLYN,OUTSIDE,79,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK HISPANIC,995918,190890,40.69062,-73.957925
282041194,2/10/24,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1007536,244566,40.837924,-73.915846
